feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
14043	0.9999467566773131	Domain: MGS-like	0.29116096447513307	137	62	0.5685806848415986	0.2290014550242695	5.324332268685783e-05
14224	0.9999486836758289	Domain: MGS-like	0.29306808208821644	136	67	0.585466448289212	0.2506551166692289	5.131632417110232e-05
8845	0.999952488548153	Domain: MGS-like	0.29585327575064235	146	67	0.7389948075359019	0.24397463562446708	4.751145184700434e-05
8965	0.9999635363673116	Domain: MGS-like	0.2934765725656269	125	65	0.6050699280185947	0.274312739350921	3.646363268838826e-05
5321	0.9999689683439681	Region: Pyrophosphorylase	0.5858405926307623	35	25	0.0003001760149245408	0.00025016840724762467	3.103165603191016e-05
8056	0.9999706136001335	Domain: MGS-like	0.29196661173903493	133	59	0.7924775545913686	0.32101977014818484	2.9386399866493385e-05
11940	0.9999712340011099	Region: Pyrophosphorylase	0.353265006978788	2	1	1.0377015567005146e-05	4.89940977295257e-06	2.8765998890123434e-05
4784	0.9999729333655092	Region: Pyrophosphorylase	0.5811605568048303	58	42	0.0005578266110462918	0.00039039895293866946	2.7066634490813257e-05
4563	0.9999792991026775	Region: Pyrophosphorylase	0.4650828269344152	4	2	9.229409606113319e-05	3.972212283023571e-05	2.0700897322534217e-05
13618	0.9999999403953552	Domain: 2Fe-2S ferredoxin-type	0.349813246026388	168	95	0.03651903581133362	0.02929761348139815	5.960464477539063e-08
2897	0.9999999403953552	Domain: JmjC	0.45331591851931186	9	6	2.689462444201531e-05	1.9670408491928156e-05	5.960464477539063e-08
9219	0.9999999403953552	Domain: YcgL	0.33377046630870855	168	96	0.06941163530760633	0.03974848694903058	5.960464477539063e-08
1902	0.9999999403953552	Domain: MGS-like	0.3422011547479437	160	83	0.002500461959594868	0.0010360605507885633	5.960464477539063e-08
10717	0.9999999403953552	Region: Framework-1	0.4198359665572643	4	3	8.57957037943422e-07	4.2192885213975545e-07	5.960464477539063e-08
13972	0.9999999403953552	Domain: DAGKc	0.576647013425827	3	1	3.1810345113542934e-07	1.1521334885443913e-07	5.960464477539063e-08
7921	0.9999999403953552	Topological domain: Cytoplasmic	0.4661541349358029	1	1	5.13288150941714e-08	1.8108828986574394e-08	5.960464477539063e-08
8349	0.9999999403953552	Domain: YcgL	0.3659055845336562	171	97	0.010150147155266517	0.007797131735730878	5.960464477539063e-08
1033	0.9999999403953552	Domain: HTH lysR-type	0.4509981015549624	38	24	2.9795320393278933e-05	2.0978949513692957e-05	5.960464477539063e-08
7860	0.9999999403953552	Domain: HTH lysR-type	0.5467263708511989	3	3	2.2132140833734193e-07	1.1192841180675206e-07	5.960464477539063e-08
4285	0.9999999403953552	Domain: YcgL	0.36150435584077895	175	90	0.017584061835098398	0.01420005962875494	5.960464477539063e-08
14534	0.9999999403953552	Domain: YcgL	0.33649191768233205	164	85	0.04894968049247508	0.03553156323814698	5.960464477539063e-08
4800	0.9999999403953552	Domain: YcgL	0.32938681823252797	170	90	0.040550085896983	0.02082329462053843	5.960464477539063e-08
1215	0.9999999403953552	Domain: 2Fe-2S ferredoxin-type	0.5759203368797898	5	5	7.022995651905695e-07	3.1041004673533624e-07	5.960464477539063e-08
13394	0.9999999403953552	Domain: YcgL	0.32944300331974374	173	90	0.025182638989767272	0.021167594761410363	5.960464477539063e-08
14627	0.9999999403953552	Transit peptide: Chloroplast	0.33392442432006375	160	93	0.04750995871384863	0.0223906511511597	5.960464477539063e-08
14890	0.9999999403953552	Domain: YcgL	0.37704698226441613	169	95	0.008470774493153588	0.0075080409089971906	5.960464477539063e-08
3856	0.9999999403953552	Signal peptide	0.5904517143315848	16	13	3.2817076342792684e-05	2.7284237999779974e-05	5.960464477539063e-08
5880	0.9999999403953552	Transit peptide: Mitochondrion	0.7227396853268147	4	3	1.904525704176067e-05	1.0721077192544211e-05	5.960464477539063e-08
3699	0.9999999403953552	Domain: YcgL	0.35538602342112713	170	91	0.013305148066330208	0.010967906246791961	5.960464477539063e-08
3330	0.9999999403953552	Domain: 2Fe-2S ferredoxin-type	0.4997523619571337	11	9	7.3844759274056405e-06	7.413776821975543e-06	5.960464477539063e-08
12250	0.9999999403953552	Domain: ABC transporter	0.5032524053987704	12	9	2.6271100184319376e-06	1.4382850005753483e-06	5.960464477539063e-08
10122	0.9999999403953552	Domain: ABC transporter	0.753311425447464	2	2	2.2374401236015763e-07	1.5863649565702968e-07	5.960464477539063e-08
1255	0.9999999403953552	Region: Framework-1	0.6068703591350525	6	5	8.959458792204108e-07	3.635317513583236e-07	5.960464477539063e-08
1700	0.9999999403953552	Domain: Ig-like V-type	0.43858989914536506	9	6	7.894094003480697e-06	4.99578415360081e-06	5.960464477539063e-08
3609	0.9999999403953552	Domain: Ig-like V-type	0.4276242199144907	10	5	0.0001974842576899665	0.000107214614503008	5.960464477539063e-08
5516	0.9999999403953552	Domain: YcgL	0.331002941378533	169	87	0.021166851566273136	0.011834455482492498	5.960464477539063e-08
10054	0.9999999403953552	Domain: YcgL	0.33979452497375034	169	86	0.048629560669302525	0.03543570368705482	5.960464477539063e-08
1980	0.9999999403953552	Domain: YcgL	0.3677868288503674	171	98	0.00924592306667872	0.00772447240648678	5.960464477539063e-08
14958	0.9999999403953552	Transit peptide: Chloroplast	0.3305894705695528	160	80	0.017667195045504132	0.005126773516822185	5.960464477539063e-08
6684	0.9999999403953552	Domain: HTH lysR-type	0.40295914452757037	25	13	0.00012573437560600858	6.895489076189644e-05	5.960464477539063e-08
15754	0.9999999552965164	Domain: MGS-like	0.3399337779963217	164	89	0.010396094490921432	0.0030093914525792156	4.470348358154297e-08
9425	0.9999999582767487	Domain: MGS-like	0.3380771040906337	159	71	0.003937878098636557	0.001038841986314089	4.1723251298364517e-08
40	0.9999999602635702	Domain: YcgL	0.3620633842498575	194	115	0.14985480620592598	0.07204923744417498	3.973642981325298e-08
11066	0.9999999602635702	Domain: MGS-like	0.33162832336706227	157	82	0.008300590846593455	0.0022394351833445554	3.973642981325298e-08
15672	0.9999999602635702	Domain: MGS-like	0.3355767332087229	164	81	0.015908537889525686	0.005937931049485875	3.973642981325298e-08
10283	0.9999999618530273	Domain: YcgL	0.3467588191861075	185	101	0.11917761108538105	0.1045757675875427	3.814697269177714e-08
6704	0.9999999633202186	Domain: MGS-like	0.34424268274370207	163	83	0.005071692889090875	0.0013687531043834167	3.667978143440109e-08
554	0.9999999686291343	Domain: MGS-like	0.3364942544947838	165	83	0.007435603771360872	0.0018876131195980966	3.137086568294478e-08
3081	0.9999999701976776	Transit peptide: Chloroplast	0.33015749853830223	169	92	0.029729662434508423	0.013475246968336454	2.9802322387695312e-08
3931	0.9999999701976776	Signal peptide	0.3875013084215404	10	7	7.406022682477485e-06	6.021352084793122e-06	2.9802322387695312e-08
11835	0.9999999701976776	Transit peptide: Chloroplast	0.32940671280273653	161	85	0.015862509982258643	0.005988789241167497	2.9802322387695312e-08
6344	0.9999999701976776	Domain: PE	0.35810889145096264	76	39	0.001254632918443975	0.0008080583951565061	2.9802322387695312e-08
281	0.9999999701976776	Transit peptide: Chloroplast	0.3272659494306601	171	94	0.030837598640278727	0.013107871858650465	2.9802322387695312e-08
15983	0.9999999701976776	Transit peptide: Chloroplast	0.3350781307386026	169	94	0.03299734532890175	0.013488809377916888	2.9802322387695312e-08
14181	0.9999999701976776	Transit peptide: Chloroplast	0.33933614995621225	181	100	0.09226396728263077	0.046021785833629245	2.9802322387695312e-08
1200	0.9999999701976776	Transit peptide: Chloroplast	0.3520483660262762	171	92	0.014219503993067397	0.007519462051764331	2.9802322387695312e-08
8873	0.9999999701976776	Transit peptide: Chloroplast	0.323516007161276	158	83	0.017626661184521542	0.007288068263098934	2.9802322387695312e-08
10707	0.9999999701976776	Transit peptide: Chloroplast	0.5942735727701614	53	35	0.0004983255174343508	0.0003310939417209095	2.9802322387695312e-08
12446	0.9999999701976776	Transit peptide: Chloroplast	0.33157902223361807	163	88	0.021365545497887776	0.008495705168913487	2.9802322387695312e-08
760	0.9999999701976776	Transit peptide: Chloroplast	0.33583264081733527	165	90	0.035888698132722316	0.015311211608498862	2.9802322387695312e-08
10896	0.9999999701976776	Compositional bias: Basic residues	0.43404746272911626	13	6	4.6242477850046415e-06	3.5205928787866535e-06	2.9802322387695312e-08
