feature_id	best_auprc	best_annot	best_or	mean_auprc_all	n_annots_above_03	n_annots_above_05	mystery_score
6010	0.999219955365779	Region: Interaction with TCF3	119.69022092267706	0.2873903155280937	232	117	0.0007800446342209888
8098	0.9992253350801943	Region: Interaction with TCF3	93.47450892001189	0.3251435753268704	253	143	0.0007746649198057121
7906	0.9992443819626785	Region: Interaction with TCF3	101.52631578947368	0.33573549548630444	268	150	0.0007556180373214927
4489	0.999246815226161	Region: Interaction with TCF3	29.61912479740681	0.30184412247902803	240	121	0.0007531847738390107
7323	0.9992647865350208	Region: Interaction with TCF3	149.4921338355861	0.32564448704896704	255	148	0.0007352134649791786
3143	0.9992951340082047	Region: Interaction with TCF3	189.5646462750985	0.33578833858145773	265	157	0.0007048659917953115
4866	0.9993265300628817	Domain: CN hydrolase	137.25505580516148	0.28669253358310876	228	110	0.000673469937118254
4548	0.9993369505594561	Domain: SMP-LTD	250.17940246777684	0.32725216070462193	254	143	0.0006630494405438503
5520	0.9993370301318794	Region: Interaction with TCF3	94.92076302274394	0.2897358256557411	231	112	0.0006629698681206442
1963	0.999352791253948	Domain: CN hydrolase	277.2730627306273	0.3380811702314522	260	156	0.0006472087460519527
7186	0.9993571238555466	Region: Interaction with TCF3	46.74507321844702	0.28401496250458946	232	102	0.0006428761444533526
7618	0.9993842556187844	Region: Interaction with TCF3	214.86516541562412	0.30403313921857505	242	126	0.0006157443812155883
5551	0.9994103319382669	Domain: SMP-LTD	1440.2249363929195	0.3229067127599904	264	145	0.0005896680617331063
5263	0.9994126856520843	Region: Interaction with TCF3	33.79250720461095	0.2893734944329053	236	111	0.0005873143479157017
1349	0.9994185703144792	Region: Interaction with TCF3	215.28874639275372	0.333654746592	266	148	0.0005814296855207735
5620	0.99943825568538	Domain: CN hydrolase	165.1414563998923	0.2632834590518364	204	88	0.0005617443146199719
1105	0.9994638004136619	Region: Interaction with TCF3	276.287793047696	0.34260799882494075	268	159	0.0005361995863381042
3853	0.9994664707973939	Domain: CN hydrolase	104.80805775008594	0.3387448368887137	256	163	0.0005335292026060756
221	0.9994693496262164	Region: Interaction with TCF3	198.47388439268133	0.3329631231814886	261	153	0.0005306503737836366
2580	0.9995148876516614	Domain: SMP-LTD	145.158940397351	0.32255807975282874	264	146	0.00048511234833858996
4646	0.9995224325016063	Domain: CN hydrolase	188.34909276883394	0.29524362187183856	238	110	0.00047756749839367174
682	0.9995358905476349	Region: Interaction with TCF3	87.22593661676277	0.3406648095291206	266	160	0.00046410945236508017
7295	0.9995397623205707	Region: Interaction with TCF3	118.26237408954826	0.29879670551639825	235	124	0.0004602376794292651
7102	0.9995457193908378	Domain: SMP-LTD	139.87581433224756	0.32490352094878705	247	154	0.00045428060916219426
313	0.9995503107082572	Domain: CN hydrolase	138.25764424355225	0.3254817158526517	256	138	0.00044968929174282746
6176	0.999555729272791	Region: Interaction with TCF3	87.6428017575601	0.3358061029613483	264	152	0.0004442707272089841
5382	0.9995570264270134	Region: Interaction with TCF3	911.8179373429045	0.3283638239893121	254	145	0.00044297357298661577
303	0.999573990203848	Region: Interaction with TCF3	69.17688471692578	0.32773473988898455	260	140	0.00042600979615203816
3588	0.9995777809176104	Domain: CN hydrolase	60.656888622275545	0.27716963451242144	223	105	0.0004222190823895966
1916	0.9996031588481099	Region: Interaction with TCF3	115.21078515123308	0.3229721358519675	252	146	0.0003968411518900927
4650	0.9996053760889645	Domain: CN hydrolase	57.354419613272746	0.31702689304509013	256	147	0.00039462391103550765
4256	0.9996105783456755	Region: Interaction with TCF3	376.33858530337795	0.3292544084119003	254	154	0.0003894216543245399
7429	0.999632671481546	Domain: CN hydrolase	234.8992537313433	0.296716519883855	239	114	0.00036732851845400205
4988	0.9996333775830561	Region: Interaction with TCF3	1366.9423826036134	0.32314651083484597	251	137	0.00036662241694385145
1975	0.9996415547783934	Region: Interaction with TCF3	46.64705882352941	0.29451901482690923	230	118	0.00035844522160655146
1156	0.9996563704412701	Domain: SMP-LTD	109.29645166928859	0.3287568568461932	252	152	0.00034362955872990764
4400	0.9996565889777829	Region: Interaction with TCF3	37.72245603015075	0.2501678458157791	196	77	0.0003434110222171327
1430	0.9996573312309925	Region: Interaction with TCF3	143.89791666666667	0.3443187366066803	268	162	0.00034266876900745924
4791	0.9996627129456174	Region: Interaction with TCF3	242.14526246780053	0.31873805693031665	252	146	0.00033728705438262896
7585	0.9996821578944655	Region: Interaction with TCF3	26.23697719281037	0.268830462494858	211	94	0.0003178421055345382
6922	0.999686499595445	Region: Interaction with TCF3	599.8732371635512	0.30640117778104775	247	126	0.0003135004045550227
5124	0.9997135550318486	Domain: CN hydrolase	74.44444444444444	0.3457084289248716	260	165	0.0002864449681514447
3934	0.9997191708951346	Region: Interaction with TCF3	114.49667741165717	0.22730849180016569	173	68	0.0002808291048653766
7644	0.9997227995440358	Region: Interaction with TCF3	91.69933649373405	0.26972632705705357	215	100	0.0002772004559642438
2651	0.9997252761156311	Region: Interaction with TCF3	66.00130151843818	0.3257001383974912	252	155	0.00027472388436888817
6800	0.999751431470825	Region: Interaction with TCF3	333.08726987614506	0.30258343388724707	238	132	0.0002485685291749862
1385	0.9997725805954397	Region: Interaction with TCF3	287.8766046424492	0.3440158855897582	260	157	0.00022741940456028065
856	0.9997933013211415	Domain: CN hydrolase	131.130743618202	0.33038744962365363	258	146	0.0002066986788584746
3330	0.9998146905911188	Region: Interaction with TCF3	253.70852191904822	0.3323966598416902	256	156	0.00018530940888117353
6917	0.9998146948466641	Region: Interaction with TCF3	122.34856367337706	0.34792563832001017	266	164	0.000185305153335924
2530	0.9998878876740215	Region: Interaction with TCF3	65.2078293786354	0.3304320177460498	254	151	0.0001121123259785195
6542	0.9998989578839561	Region: Interaction with TCF3	817.5644027990797	0.2855555393200769	231	114	0.00010104211604389235
6240	0.9999153764098311	Region: Interaction with TCF3	548.7274459831126	0.23623322453569606	175	76	8.462359016891963e-05
3834	0.9999160318688592	Region: Interaction with TCF3	81.02785932208721	0.31570954711000876	246	139	8.396813114075474e-05
1264	0.9999355052068388	Domain: SMP-LTD	101.05882352941177	0.33800608750365374	267	154	6.44947931611739e-05
4338	0.9999491129763706	Domain: CN hydrolase	124.17209897610921	0.34615226847720565	269	162	5.0887023629431205e-05
6293	0.9999651570843969	Region: Interaction with TCF3	32.846302695231515	0.28095165613422723	226	103	3.484291560307273e-05
4106	1.0	Binding site: heme b; proximal binding residue	130.149977667948	0.3394172299593802	268	157	0.0
2119	1.0	Domain: PPIase cyclophilin-type	96.56494011510344	0.34545913255377414	268	165	0.0
3090	1.0	Modified residue: 4-carboxyglutamate	44.632159159417796	0.27405232701449395	217	98	0.0
6396	1.0	Active site: Schiff-base intermediate with substrate; via pyruvic acid	244.199178304906	0.314533986095965	252	133	0.0
4434	1.0	Binding site: heme b; proximal binding residue	92.28621733924925	0.3261975822924154	250	141	0.0
6014	1.0	Domain: PPIase cyclophilin-type	226.50576772393632	0.31684258493669776	256	143	0.0
6439	1.0	Active site: Schiff-base intermediate with substrate; via pyruvic acid	162.91745260087507	0.35880827276340854	282	166	0.0
6526	1.0	Domain: PPIase cyclophilin-type	151.51940457125363	0.31438058597682284	251	140	0.0
1485	1.0	Active site: Schiff-base intermediate with substrate; via pyruvic acid	144.80727480479908	0.3270231786689502	255	147	0.0
2107	1.0	Active site: N6-AMP-lysine intermediate	219.88522061092254	0.3367128737111775	255	152	0.0
7306	1.0	Domain: PPIase cyclophilin-type	80.53837941859132	0.3115174091813186	251	129	0.0
1883	1.0	Domain: PPIase cyclophilin-type	82.06228259623339	0.31220864875152804	248	137	0.0
3339	1.0	Active site: N6-AMP-lysine intermediate	133.28574185625178	0.3345616102715413	256	154	0.0
1153	1.0	Modified residue: 4-carboxyglutamate	49.86105971404542	0.27406083994912434	213	95	0.0
7695	1.0	Active site: Schiff-base intermediate with substrate; via pyruvic acid	323.44190732034923	0.3378150763024873	257	154	0.0
1036	1.0	Active site: Schiff-base intermediate with substrate; via pyruvic acid	160.55011655011654	0.3414634460340796	270	163	0.0
1002	1.0	Modified residue: 4-carboxyglutamate	635.6285582957498	0.2955154991331732	237	119	0.0
7790	1.0	Binding site: heme b; proximal binding residue	288.6528007563224	0.3235848468249334	257	144	0.0
742	1.0	Domain: PPIase cyclophilin-type	147.77454730935986	0.3188035565166746	250	140	0.0
752	1.0	Active site: N6-AMP-lysine intermediate	301.6413994169096	0.3542643149490209	273	171	0.0
1248	1.0000000000000002	Domain: CN hydrolase	178.27807067324562	0.3322797245839144	264	147	-2.220446049250313e-16
